anno;cantone;CPA_2_1_descr;misura;statistica;valore
2016;Svizzera;Totale;Tot_congiunturale_in_fr.;esportazioni;210472920883.19
2016;Svizzera;Totale;Tot_congiunturale_in_fr.;importazioni;173542077980.58
2016;Svizzera;Totale;Tot_complessivo_in_fr.;esportazioni;298408001191.24
2016;Svizzera;Totale;Tot_complessivo_in_fr.;importazioni;266137159896.75
2016;Svizzera;01 Prodotti dell'agricoltura e della caccia e relativi servizi;Tot_congiunturale_in_fr.;esportazioni;99977994.81
2016;Svizzera;01 Prodotti dell'agricoltura e della caccia e relativi servizi;Tot_congiunturale_in_fr.;importazioni;3411949476.02
2016;Svizzera;01 Prodotti dell'agricoltura e della caccia e relativi servizi;Tot_complessivo_in_fr.;esportazioni;99977994.81
2016;Svizzera;01 Prodotti dell'agricoltura e della caccia e relativi servizi;Tot_complessivo_in_fr.;importazioni;3411949476.02
2016;Svizzera;02 Prodotti della silvicoltura, delle operazioni di taglio e trasporto dei tronchi e servizi connessi;Tot_congiunturale_in_fr.;esportazioni;57184345.99
2016;Svizzera;02 Prodotti della silvicoltura, delle operazioni di taglio e trasporto dei tronchi e servizi connessi;Tot_congiunturale_in_fr.;importazioni;56222849.22
2016;Svizzera;02 Prodotti della silvicoltura, delle operazioni di taglio e trasporto dei tronchi e servizi connessi;Tot_complessivo_in_fr.;esportazioni;57184345.99
2016;Svizzera;02 Prodotti della silvicoltura, delle operazioni di taglio e trasporto dei tronchi e servizi connessi;Tot_complessivo_in_fr.;importazioni;56222849.22
2016;Svizzera;"03 Pesci ed altri prodotti della pesca; prodotti dell'acquacoltura; servizi di supporto per la pesca";Tot_congiunturale_in_fr.;esportazioni;1035176.02
2016;Svizzera;"03 Pesci ed altri prodotti della pesca; prodotti dell'acquacoltura; servizi di supporto per la pesca";Tot_congiunturale_in_fr.;importazioni;125100610.75
2016;Svizzera;"03 Pesci ed altri prodotti della pesca; prodotti dell'acquacoltura; servizi di supporto per la pesca";Tot_complessivo_in_fr.;esportazioni;16627224.02
2016;Svizzera;"03 Pesci ed altri prodotti della pesca; prodotti dell'acquacoltura; servizi di supporto per la pesca";Tot_complessivo_in_fr.;importazioni;138725042.74
2016;Svizzera;05 Carboni fossili e ligniti;Tot_congiunturale_in_fr.;esportazioni;12025
2016;Svizzera;05 Carboni fossili e ligniti;Tot_congiunturale_in_fr.;importazioni;15256651.03
2016;Svizzera;05 Carboni fossili e ligniti;Tot_complessivo_in_fr.;esportazioni;12025
2016;Svizzera;05 Carboni fossili e ligniti;Tot_complessivo_in_fr.;importazioni;15256651.03
2016;Svizzera;06 Petrolio greggio e gas naturale;Tot_congiunturale_in_fr.;esportazioni;3224043.03
2016;Svizzera;06 Petrolio greggio e gas naturale;Tot_congiunturale_in_fr.;importazioni;1749619806.99
2016;Svizzera;06 Petrolio greggio e gas naturale;Tot_complessivo_in_fr.;esportazioni;3224043.03
2016;Svizzera;06 Petrolio greggio e gas naturale;Tot_complessivo_in_fr.;importazioni;1749619806.99
2016;Svizzera;07 Minerali metalliferi;Tot_congiunturale_in_fr.;esportazioni;68972
2016;Svizzera;07 Minerali metalliferi;Tot_congiunturale_in_fr.;importazioni;4470474.01
2016;Svizzera;07 Minerali metalliferi;Tot_complessivo_in_fr.;esportazioni;68972
2016;Svizzera;07 Minerali metalliferi;Tot_complessivo_in_fr.;importazioni;4470474.01
2016;Svizzera;08 Altri prodotti delle miniere e delle cave;Tot_congiunturale_in_fr.;esportazioni;37939411.17
2016;Svizzera;08 Altri prodotti delle miniere e delle cave;Tot_congiunturale_in_fr.;importazioni;287251106.14
2016;Svizzera;08 Altri prodotti delle miniere e delle cave;Tot_complessivo_in_fr.;esportazioni;40784328.18
2016;Svizzera;08 Altri prodotti delle miniere e delle cave;Tot_complessivo_in_fr.;importazioni;291990381.15
2016;Svizzera;09 Servizi di supporto per le attività di estrazione;Tot_congiunturale_in_fr.;esportazioni;0
2016;Svizzera;09 Servizi di supporto per le attività di estrazione;Tot_congiunturale_in_fr.;importazioni;0
2016;Svizzera;09 Servizi di supporto per le attività di estrazione;Tot_complessivo_in_fr.;esportazioni;0
2016;Svizzera;09 Servizi di supporto per le attività di estrazione;Tot_complessivo_in_fr.;importazioni;0
2016;Svizzera;10 Prodotti alimentari;Tot_congiunturale_in_fr.;esportazioni;6157093172.42
2016;Svizzera;10 Prodotti alimentari;Tot_congiunturale_in_fr.;importazioni;6275926553.94
2016;Svizzera;10 Prodotti alimentari;Tot_complessivo_in_fr.;esportazioni;6157093172.42
2016;Svizzera;10 Prodotti alimentari;Tot_complessivo_in_fr.;importazioni;6275926553.94
2016;Svizzera;11 Bevande;Tot_congiunturale_in_fr.;esportazioni;1981763214.94
2016;Svizzera;11 Bevande;Tot_congiunturale_in_fr.;importazioni;1742388595.83
2016;Svizzera;11 Bevande;Tot_complessivo_in_fr.;esportazioni;1981763214.94
2016;Svizzera;11 Bevande;Tot_complessivo_in_fr.;importazioni;1742388595.83
2016;Svizzera;12 Prodotti a base di tabacco;Tot_congiunturale_in_fr.;esportazioni;560569319.09
2016;Svizzera;12 Prodotti a base di tabacco;Tot_congiunturale_in_fr.;importazioni;260958278.17
2016;Svizzera;12 Prodotti a base di tabacco;Tot_complessivo_in_fr.;esportazioni;560569319.09
2016;Svizzera;12 Prodotti a base di tabacco;Tot_complessivo_in_fr.;importazioni;260958278.17
2016;Svizzera;13 Prodotti tessili;Tot_congiunturale_in_fr.;esportazioni;1080620424.76
2016;Svizzera;13 Prodotti tessili;Tot_congiunturale_in_fr.;importazioni;1833782129.37
2016;Svizzera;13 Prodotti tessili;Tot_complessivo_in_fr.;esportazioni;1080620424.76
2016;Svizzera;13 Prodotti tessili;Tot_complessivo_in_fr.;importazioni;1833782129.37
2016;Svizzera;14 Articoli di abbigliamento;Tot_congiunturale_in_fr.;esportazioni;1552411169.43
2016;Svizzera;14 Articoli di abbigliamento;Tot_congiunturale_in_fr.;importazioni;5699955738.3
2016;Svizzera;14 Articoli di abbigliamento;Tot_complessivo_in_fr.;esportazioni;1552411169.43
2016;Svizzera;14 Articoli di abbigliamento;Tot_complessivo_in_fr.;importazioni;5699955738.3
2016;Svizzera;15 Cuoio e relativi prodotti;Tot_congiunturale_in_fr.;esportazioni;1145202012.17
2016;Svizzera;15 Cuoio e relativi prodotti;Tot_congiunturale_in_fr.;importazioni;2932231505.7
2016;Svizzera;15 Cuoio e relativi prodotti;Tot_complessivo_in_fr.;esportazioni;1145202012.17
2016;Svizzera;15 Cuoio e relativi prodotti;Tot_complessivo_in_fr.;importazioni;2932231505.7
2016;Svizzera;"16 Legno e prodotti in legno e sughero (esclusi i mobili); articoli di paglia e materiali da intreccio";Tot_congiunturale_in_fr.;esportazioni;517898912.94
2016;Svizzera;"16 Legno e prodotti in legno e sughero (esclusi i mobili); articoli di paglia e materiali da intreccio";Tot_congiunturale_in_fr.;importazioni;1916083210.84
2016;Svizzera;"16 Legno e prodotti in legno e sughero (esclusi i mobili); articoli di paglia e materiali da intreccio";Tot_complessivo_in_fr.;esportazioni;517898912.94
